pgs_id,reported_trait,category
PGS001047,Past tobacco smoking (Smoked occasionally),Neurological & Psychiatric
PGS001277,PE +/- DVT,Cardiovascular
PGS001280,PE (time-to-event),Other
PGS000961,Phlebitis and thrombophlebitis (time-to-event),Cardiovascular
PGS001051,Polymyalgia rheumatica,Immune & Autoimmune
PGS001278,previously: Blood clot in the leg (DVT) or lung,Cardiovascular
PGS001279,previously: Blood clot in the lung,Cardiovascular
PGS001128,Previous smoker,Neurological & Psychiatric
PGS004944,Primary open-angle glaucoma,Ophthalmology
PGS002741,Primary open-angle glaucoma,Ophthalmology
PGS001792,Primary open-angle glaucoma,Ophthalmology
PGS001797,Primary open-angle glaucoma,Ophthalmology
PGS003383,Prostate adenocarcinoma,Cancer
PGS000588,Prostate cancer,Cancer
PGS000584,Prostate cancer,Cancer
PGS000585,Prostate cancer,Cancer
PGS000662,Prostate cancer,Cancer
PGS004055,Prostate cancer,Cancer
PGS000586,Prostate cancer,Cancer
PGS000587,Prostate cancer,Cancer
PGS000583,Prostate cancer,Cancer
PGS001291,Prostate cancer,Cancer
PGS004155,Prostate cancer,Cancer
PGS004001,Prostate cancer,Cancer
PGS004139,Prostate cancer,Cancer
PGS004125,Prostate cancer,Cancer
PGS002268,Prostate cancer,Cancer
PGS004109,Prostate cancer,Cancer
PGS004099,Prostate cancer,Cancer
PGS000084,Prostate cancer,Cancer
PGS004599,Prostate cancer,Cancer
PGS004085,Prostate cancer,Cancer
PGS004027,Prostate cancer,Cancer
PGS003985,Prostate cancer,Cancer
PGS000030,Prostate cancer,Cancer
PGS004071,Prostate cancer,Cancer
PGS003419,Prostate cancer,Cancer
PGS004694,Prostate cancer,Cancer
PGS000795,Prostate cancer,Cancer
PGS000333,Prostate cancer,Cancer
PGS000719,Prostate cancer,Cancer
PGS004042,Prostate cancer,Cancer
PGS000582,Prostate cancer,Cancer
PGS005238,Prostate carcinoma,Cancer
PGS005240,Prostate carcinoma,Cancer
PGS005237,Prostate carcinoma,Cancer
PGS005241,Prostate carcinoma,Cancer
PGS005239,Prostate carcinoma,Cancer
PGS004262,Psoriasis,Immune & Autoimmune
PGS004263,Psoriasis,Immune & Autoimmune
PGS004261,Psoriasis,Immune & Autoimmune
PGS004264,Psoriasis,Immune & Autoimmune
PGS004260,Psoriasis,Immune & Autoimmune
PGS001312,Psoriasis,Immune & Autoimmune
PGS001313,Psoriasis (time-to-event),Immune & Autoimmune
PGS001522,Psoriatic and enteropathic arthropathies (time-to-event),Immune & Autoimmune
PGS001287,Psoriatic arthropathy,Immune & Autoimmune
PGS003861,Pulmonary embolism,Cardiovascular
PGS001030,Pulmonary fibrosis,Respiratory
PGS001258,Radius fracture,Metabolic & Endocrine
PGS001110,Reactive arthropathies (time-to-event),Immune & Autoimmune
PGS003860,Refractive error,Ophthalmology
PGS001137,Retinal detachment,Ophthalmology
PGS000990,Retinal detachments and breaks (time-to-event),Ophthalmology
PGS001276,Retinal disorders in diseases classified elsewhere (time-to-event),Ophthalmology
PGS004010,Rheumatoid arthritis,Immune & Autoimmune
PGS004255,Rheumatoid arthritis,Immune & Autoimmune
PGS004256,Rheumatoid arthritis,Immune & Autoimmune
PGS004257,Rheumatoid arthritis,Immune & Autoimmune
PGS004258,Rheumatoid arthritis,Immune & Autoimmune
PGS004259,Rheumatoid arthritis,Immune & Autoimmune
PGS004021,Rheumatoid arthritis,Immune & Autoimmune
